Start Time,Duration,activation,batch_size,dim,dropout,dropout_rate,early_stop_patience,encoder_out,epochs,intermediate,learning_rate,optimizer,out_activation,type,error,score
23/05/2024 00:16,58.4s,relu,2,"(55, 31, 263, 287, 259)",0,0.25,80,5,230,2,0.001,rmsprop,sigmoid,undercomplete,0.064703159,0.008939116
23/05/2024 00:27,24.7s,relu,1,"(167, 167, 263, 229, 193)",0,0.1,10,50,250,1,0.001,adam,sigmoid,undercomplete,0.065431014,0.009050264
22/05/2024 23:17,26.3s,relu,2,"(131, 214, 131, 232, 147)",0,0.35,50,50,140,2,0.0015,adam,sigmoid,undercomplete,0.06568706,0.009088484
23/05/2024 00:16,17.5s,relu,2,"(259, 5, 101, 188, 182)",0,0.2,30,50,180,1,0.002,adam,sigmoid,undercomplete,0.065256655,0.009089399
22/05/2024 16:52,1.7min,relu,1,"(89, 21, 136, 1, 228)",0,0.2,80,50,230,2,0.0005,rmsprop,sigmoid,sparse,0.064444758,0.009132828
22/05/2024 16:50,1.5min,relu,1,"(206, 24, 83, 28, 205)",0,0.25,80,50,300,2,0.0005,rmsprop,sigmoid,sparse,0.063995406,0.009149581
22/05/2024 16:46,1.4min,relu,1,"(148, 26, 50, 30, 305)",0,0.25,80,50,180,2,0.0005,rmsprop,sigmoid,sparse,0.064642727,0.009225557
23/05/2024 00:24,34.5s,relu,2,"(112, 74, 245, 285, 36)",0,0.2,70,50,200,2,0.0015,adam,sigmoid,undercomplete,0.066243939,0.009232261
23/05/2024 00:32,1.0min,relu,1,"(53, 281, 241, 141, 51)",0,0.3,20,50,240,1,0.001,rmsprop,sigmoid,sparse,0.064641558,0.009241087
23/05/2024 00:18,56.5s,relu,2,"(242, 46, 297, 296, 170)",0,0.2,80,150,200,3,0.0005,rmsprop,sigmoid,undercomplete,0.066136025,0.009267439
23/05/2024 00:34,31.1s,relu,4,"(97, 133, 257, 247, 106)",0,0.15,80,5,250,2,0.001,adam,sigmoid,undercomplete,0.066893555,0.009296072
22/05/2024 16:35,1.0min,relu,1,"(168, 43, 6, 208, 267)",0,0.35,60,50,260,1,0.002,rmsprop,sigmoid,sparse,0.065201968,0.009310318
23/05/2024 00:25,28.6s,relu,2,"(3, 35, 143, 214, 193)",0,0.35,30,150,240,1,0.0015,rmsprop,sigmoid,undercomplete,0.066991083,0.00931991
23/05/2024 00:26,39.2s,relu,2,"(92, 217, 114, 163, 227)",0,0.25,80,50,270,2,0.0015,adam,sigmoid,undercomplete,0.067117304,0.009327307
22/05/2024 16:40,1.6min,relu,1,"(171, 6, 5, 181, 302)",0,0.25,40,50,150,3,0.0005,rmsprop,sigmoid,sparse,0.065267526,0.009370433
22/05/2024 16:49,1.2min,relu,1,"(147, 74, 54, 45, 274)",0,0.35,90,50,240,1,0.002,rmsprop,sigmoid,sparse,0.064832777,0.009371364
23/05/2024 00:30,1.5min,relu,1,"(132, 187, 249, 226, 97)",0,0.15,60,150,230,2,0.001,rmsprop,sigmoid,undercomplete,0.067868948,0.009465124
22/05/2024 16:57,36.7s,relu,8,"(180, 155, 188, 34, 81)",1,0.05,40,50,200,1,0.001,adam,sigmoid,undercomplete,0.067848161,0.009484716
22/05/2024 23:45,28.4s,relu,8,"(7, 177, 89, 147, 251)",0,0.3,60,50,280,2,0.0015,adam,sigmoid,sparse,0.065969065,0.009512106
23/05/2024 00:11,45.4s,relu,1,"(76, 265, 10, 266, 230)",0,0.4,50,50,230,3,0.001,adam,sigmoid,undercomplete,0.067559473,0.009560456
22/05/2024 23:46,27.8s,relu,4,"(59, 304, 165, 92, 245)",0,0.3,70,50,190,1,0.001,adam,sigmoid,undercomplete,0.069493726,0.009576182
23/05/2024 00:21,28.5s,relu,2,"(260, 34, 302, 191, 303)",0,0.15,40,50,100,1,0.0005,rmsprop,sigmoid,undercomplete,0.068274029,0.009603974
22/05/2024 23:47,23.1s,sigmoid,16,"(195, 163, 204, 9, 191)",0,0.15,40,50,270,0,0.002,rmsprop,sigmoid,undercomplete,0.069118902,0.009674516
23/05/2024 00:26,21.7s,relu,4,"(40, 1, 179, 91, 257)",0,0.25,40,50,110,0,0.002,adam,sigmoid,undercomplete,0.07056421,0.009712645
23/05/2024 00:33,15.9s,relu,16,"(133, 207, 184, 269, 210)",0,0.1,10,5,220,2,0.001,adam,sigmoid,undercomplete,0.06850867,0.009715372
23/05/2024 00:22,55.5s,relu,2,"(41, 5, 85, 277, 194)",0,0.1,70,150,260,3,0.0015,rmsprop,sigmoid,undercomplete,0.068671204,0.009731391
22/05/2024 23:47,27.2s,relu,4,"(252, 38, 158, 180, 179)",0,0.25,70,50,90,1,0.001,rmsprop,sigmoid,undercomplete,0.068413794,0.009748497
23/05/2024 00:23,41.1s,relu,2,"(236, 103, 158, 218, 146)",0,0.15,40,5,180,0,0.0005,rmsprop,sigmoid,undercomplete,0.068821706,0.009843751
23/05/2024 00:31,21.9s,relu,1,"(106, 121, 282, 274, 132)",0,0.05,10,5,260,3,0.0005,adam,sigmoid,sparse,0.068193376,0.00987908
22/05/2024 16:29,35.0s,relu,8,"(103, 11, 27, 303, 294)",2,0.2,40,50,120,4,0.001,rmsprop,sigmoid,sparse,0.068148851,0.009983431
23/05/2024 00:12,38.9s,relu,8,"(92, 275, 46, 120, 109)",0,0.1,60,5,290,1,0.002,rmsprop,sigmoid,sparse,0.066881754,0.009987275
22/05/2024 16:42,1.6min,relu,1,"(174, 96, 2, 190, 229)",0,0.3,40,50,160,3,0.0005,rmsprop,sigmoid,sparse,0.068362013,0.009998703
23/05/2024 00:26,25.7s,relu,16,"(117, 18, 46, 174, 289)",0,0.15,30,5,290,1,0.0005,rmsprop,sigmoid,undercomplete,0.070261605,0.010002164
23/05/2024 00:28,1.3min,sigmoid,1,"(78, 223, 284, 237, 284)",0,0.1,70,5,280,1,0.001,adam,sigmoid,undercomplete,0.070332371,0.010033176
22/05/2024 16:43,1.3min,relu,1,"(168, 1, 1, 179, 295)",0,0.3,40,50,140,2,0.0005,rmsprop,sigmoid,sparse,0.070192151,0.01007302
23/05/2024 00:13,13.6s,relu,8,"(297, 200, 16, 259, 19)",0,0.3,10,50,150,1,0.0005,adam,sigmoid,undercomplete,0.071189262,0.010100104
22/05/2024 23:39,33.9s,relu,16,"(288, 112, 158, 149, 262)",0,0.35,40,50,220,0,0.0015,rmsprop,sigmoid,undercomplete,0.072144389,0.010177305
23/05/2024 00:20,24.2s,relu,2,"(201, 89, 231, 301, 179)",0,0.25,70,150,70,3,0.001,adam,sigmoid,undercomplete,0.071070328,0.010218121
23/05/2024 00:08,51.2s,relu,1,"(32, 25, 256, 40, 85)",0,0.3,60,50,140,1,0.0015,adam,sigmoid,undercomplete,0.07131198,0.010233844
22/05/2024 23:37,15.9s,relu,16,"(72, 238, 151, 63, 12)",0,0.35,20,50,300,0,0.0015,adam,sigmoid,undercomplete,0.071844876,0.010241118
22/05/2024 16:39,21.7s,relu,8,"(258, 143, 162, 118, 84)",1,0.4,20,50,280,1,0.002,adam,sigmoid,undercomplete,0.07150653,0.010268823
